A: 00 F: 00 B: 00 C: 00 D: 00 E: 00 H: 00 L: 00 SP: 0000 PC: 0000 | 31
A: 00 F: 00 B: 00 C: 00 D: 00 E: 00 H: 00 L: 00 SP: fffe PC: 0003 | af
A: 00 F: 80 B: 00 C: 00 D: 00 E: 00 H: 00 L: 00 SP: fffe PC: 0004 | 21
A: 00 F: 80 B: 00 C: 00 D: 00 E: 00 H: 9f L: ff SP: fffe PC: 0007 | 32
A: 00 F: 80 B: 00 C: 00 D: 00 E: 00 H: 9f L: fe SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fe SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fe SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fd SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fd SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fd SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fc SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fc SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fc SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fb SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fb SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fb SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fa SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fa SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: fa SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f9 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f9 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f9 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f8 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f8 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f8 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f7 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f7 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f7 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f6 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f6 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f5 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f5 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f5 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f4 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f4 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f4 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f3 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f3 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f3 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f2 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f2 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f2 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f1 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f1 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f1 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f0 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f0 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: f0 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ef SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ef SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ef SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ee SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ee SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ee SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ed SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ed SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ed SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ec SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ec SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ec SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: eb SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: eb SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: eb SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ea SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ea SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: ea SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e9 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e9 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e9 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e8 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e8 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e8 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e7 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e7 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e7 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e6 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 9f L: e6 SP: fffe PC: 0007 | 32
